zmukhxlfqv,kwyhpzhwle,yayzkekqpn,tgyoblklkd,wbmctcoahi,oefoljaugf,wamypataje
lzbplugfrr,drgghbceti,DOg,DOG,824,0.263,gcigvdwvag
lmporeefuz,-153,-2,pxirmdvfkz,970,0.3765,-0.1345
0.0825,0.344,DOg,0.122,112,pltxccobjp,0.074
dog,710,-98,672,176,0.168,796
Cat,Dog,DOG,dog,dyblykqxek,-0.03,0.262
-720,CAt,luehywcgtd,CaT,55,-449,-745
wyysnlekrr,dOg,664,Cat,0.3605,143,-98
0.478,0.254,357,orviqcwvjj,CAT,-0.4115,275
Cat,-349,0.1355,DOg,-165,0.233,esecifloai
dOg,-0.441,cAT,984,vabiagydgg,razbedzehl,CAT
-842,zshxkyezrv,77,-202,500,nstjtuqftj,102
CAt,abuislquru,-0.145,-0.246,0.084,dog,-965
-994,iicvnsnglb,-125,-667,dOg,-0.172,898
cat,-0.2695,zbjxmaawdu,-854,skhgduaebl,-0.0185,885
doG,doG,wfcwcaydjg,dOG,0.3925,nshbljoeco,454
yzbnoyahmp,CaT,tmtnffgybu,eaufepifov,iczskkmnub,-0.4365,DoG
0.39,-740,-0.2005,meahzoamef,ikwgahjzxp,ojxaaovrnv,dyvecbvfae
cAT,-332,-349,sgbzefopqq,-0.4965,-0.147,0.4735
533,ilelbaiykl,0.374,yctpmdaffp,pzwfosjbev,584,-0.125
776,dykjdvdrch,-0.1455,-449,rmjapnxqbs,CaT,rlkoejtdsp
578,-181,0.2215,tjcnlldjke,276,952,-261
cAt,nqpvaimtoh,doG,0.327,jdpswhkqty,wehpswabri,-329
dOG,cat,-407,tlegdehrur,cAt,DOG,-593
dog,453,oatywwheua,citliqjysz,-316,wiitxhcmvb,orzrbjhrsf
462,-470,-743,-0.4915,0.008,0.405,Cat
goumzeagar,dOg,DOg,-0.172,doG,-0.4955,0.2855
kazqrapixi,upuzkzcqpr,CaT,dOG,733,0.11,0.1745
-0.1385,0.111,-950,cat,DoG,nkxnlpswwz,yvlicruaqg
Cat,dbldvghppo,-523,dog,-559,965,0.328
-596,18,fphjybivqy,576,caT,-0.4045,-0.1075
-599,20,CAt,0.354,qvscxdpwks,tldbaojxxs,306
0.498,-574,-593,jwwmjfbulg,-0.4435,nmcdvmcnil,agdsiuzgxp
769,-0.0855,nkwloodpfm,58,-906,wkgseodhsw,257
kkgzkeyfmn,-60,-0.2045,cAt,osvdovkxgd,-313,fxymjufhxg
spsqxfdelf,Cat,sruzffituz,wjxelxqbaa,fzcdzhghnv,cAT,CAt
hplzdnemlo,-0.1695,-617,oojoskbazf,0.1605,cAt,-0.3975
DoG,-354,gbydjiwpny,0.4965,ggmzvvqoba,912,-0.22
dOG,-0.3065,0.1025,pgezkpoant,ttslziwlgf,0.235,-0.4525
pcjvkrmnpz,wtonfysrlg,jhahpuclpq,0.0165,qwpqcnntkg,-0.0085,-60
ywpzzmekzc,bellgzasle,315,uibiyzefri,lrtupkxihx,797,0.099
-0.1395,xivrjsoege,0.3405,0.2195,btmjgtqqkj,bdnttqkzmw,862
DOg,cat,-0.1375,0.0675,0.2,iviyfuyhui,0.1765
tcvnjueydu,115,xvaenmzsvq,-0.4555,-714,DOg,798
-913,0.0275,etlrdchdxj,-76,hjpfvesbed,DOG,CAT
dog,hdnyeuxoun,zhilmlxpjr,-0.0125,cAt,doG,0.194
-830,0.016,-149,0.233,iqlrxfwcmv,0.3485,qolfddmwda
pugucdbaqo,ovyswuxhog,-723,-0.313,-812,dog,0.211
CaT,povftopelw,637,-0.059,0.025,wxhikapwlo,lnbxtgfjoa
992,0.3155,DOG,615,DOg,-0.2505,0.0345
-57,vzlppyvsia,-373,ryxoyedvfw,-347,bhpsvonzsl,0.28
cAT,526,-0.3775,-908,0.4795,DoG,362
-0.2765,hhavcmnlfi,sdeixluupu,65,-0.336,dog,xdmrshwsyk
309,-714,-0.38,0.4955,jjdmnenanp,-0.11,nwykwggknn
-0.018,lwpurbkcoy,0.4435,-0.4295,CAt,-410,509
