Pet,wfgsmqabeu,gzpvigwtmo,uvnmenhnfp,umncgtczyj,vuregnpwhf,sppdxyngab
960,577,-0.4275,Dog,0.183,odrtlaybdp,67
308,dOG,-65,-0.4095,-0.346,-0.127,-0.097
dOg,-0.1085,-945,xuuutmupis,ayhluhxcrs,CAt,-798
0.472,-52,402,-676,Dog,-0.3325,-0.13
-64,0.071,-0.16,-661,-0.246,-0.1205,bggepxdqoa
dog,319,Cat,0.225,jxslekqaon,-449,784
Dog,-529,uhjpesfbhw,-775,887,182,dbhcmivwrx
tnmyjiregi,nuucmtjtne,-735,tjqfxjwnbw,0.1545,-196,550
cAt,CaT,-0.1015,-189,jkrcphbqmc,-0.0025,-728
DoG,-59,DOg,-103,ioouyywyyx,124,-0.3475
Dog,-891,nuzmcfoswm,310,96,337,0.242
Dog,cAt,0.264,cAT,manlktudfi,0.3655,970
CAt,106,kxrjxpffvk,-0.371,-286,thrzapbbxy,-540
bepzytkqas,volucxhzcv,0.3885,lsxdbegsah,0.065,-0.0265,yoqrwnjfzt
DOg,-160,cat,-403,DOg,Cat,-0.288
DOg,-0.2925,ngxaqpyskf,0.3085,lhnvrymbhq,DOG,eccgrnxbpt
CAt,0.4675,0.4075,191,0.213,Dog,-689
-0.181,747,787,-939,lyzbedlwfz,-537,dOg
CAT,-0.489,0.0975,Cat,-658,Cat,-0.3655
-0.1865,-0.3955,rodqprcufr,0.488,-386,lyicuhqbtw,-81
DOg,938,ujwdvmvbyy,DOg,-728,vbbzqdrdfd,mehjoqagmd
CAT,0.348,0.3275,-499,47,399,926
cAt,cjimpjnhxq,942,pwbikjxihv,415,-0.413,-412
DoG,0.1025,Dog,0.1805,zjxqjxtkab,0.039,0.413
lnhiffwqch,tibbnunxzp,doG,zvbwrppebg,DOG,539,0.171
oywjwlqjzu,-115,569,ndwerpqjgd,738,0.256,hhoqapqbff
DoG,690,-743,788,mvnufwjblt,akqdswqada,0.432
caT,dOg,0.0065,xiglqiiydt,-597,cntxpqkrdo,htnykcqxdc
DOg,dethvvmtdt,CAT,cAT,caT,0.0535,0.3425
cAT,owgqtqxxgj,hqxvtdphum,975,DOG,0.4595,DOG
