tytantynkp,vxsafbzmvb,lkxnjsqxkl,dvwrpwolil,zqxlauqore,ckugioevjo,ptkcxpnhju
-0.011,CAt,-448,960,-502,uxxvsfyuyx,cAT
hmnctqgobi,-0.056,nhhujpsrvk,0.318,wiegqhayaj,-0.293,-0.314
522,DOg,taepfoowkt,-0.2415,qyjvzyqfxn,nosbckrygt,DoG
DoG,-0.1955,318,0.374,yaspacvejg,jqhmkfmgxe,caT
-668,-997,-249,-963,-494,rmnykxpvyg,-341
wdehltynlq,922,766,-708,0.2405,-0.2345,-693
dOG,-0.0735,685,-66,cpnyajpako,hgwjebidkz,doG
-517,416,-446,480,cAT,-933,buptaqgqqr
ballrawyxv,zgghxuehgf,406,cAt,qymizcunfz,voulqlprrj,DOG
ovfxbhwqmg,dgowqeilsk,lekdfqrwrc,150,-0.1455,-0.43,-719
-441,-318,168,gdoutvupmx,334,-0.325,uqgudsnrkr
-85,-760,-725,-449,0.0325,0.0055,51
-234,0.478,-0.2155,0.1325,-693,DOg,488
-0.004,dog,-0.346,-773,0.367,-621,zeuiohyzbg
caT,doohbsvjlg,-0.036,khehleigda,poapaqopjb,0.1475,-913
lkoznlqzdr,-0.1775,cnhpwuejye,876,382,wqykcynfdz,-199
mirksdtfzt,sbxqqgturi,-0.4375,doG,-446,-819,0.2465
-0.473,0.2585,-0.04,0.0755,-0.158,cjpctslgeg,0.3125
cat,0.145,Cat,ircdnaiuxu,106,-828,jzepqfhksz
zgcryvigur,uuvubcscfz,-162,jdcyhpzzbu,0.4085,677,dOg
0.03,eeiqlttaep,0.122,tyyrkwsmzn,474,-455,697
0.494,499,dvovulobgo,vkbkisgvsf,ldmabekwti,-0.493,558
791,-0.049,DOg,365,ekuxhqunek,-358,bxvpyzyfsj
0.073,0.219,Cat,zzuswyashm,-494,0.476,DOg
iqodfyvqgw,0.279,dOg,0.3875,317,-0.341,yvgdscffwb
fapyjrvpfc,-369,0.2285,dog,-322,0.267,-387
xidrbtnclm,0.107,0.3485,129,vymmqxwomf,-736,0.4185
vdyytjseer,0.331,0.3955,vywnrdhfqw,-0.076,-834,cbrsrjehhh
972,0.333,CAT,-0.324,CaT,jyugixqids,-186
-547,0.0605,0.173,CAt,oeocgfcvtf,CaT,dOg
cAT,0.107,caT,DoG,0.0255,-155,slstwhbzsd
910,vtweyfvbth,-0.0965,rwkonrcpvv,DOG,-638,695
CaT,-0.1255,caT,-0.1325,-433,0.2905,-0.4165
kfzcydsfxa,424,0.2935,dOG,-844,-0.482,hdoapviyhj
525,-919,-0.362,168,egxsitwhfq,0.088,-444
543,0.392,342,548,884,hwsiofyoll,109
0.5,0.454,0.2795,vdnutqxgqx,-0.317,263,ytlmlqwhnz
-905,CAT,0.088,CAT,-0.252,-0.094,DOg
0.419,ombheshqml,-0.2515,512,aaewpgyrxs,11,dOG
DOg,qdtjkkplqv,yqmwozcbhv,chnyezpihp,246,kvmrpkooai,zegmtiwmur
-354,dzowjzbnen,dOg,tjosivsjnm,0.4555,-0.3765,cAT
-980,-0.424,DOG,-270,ijptktuuio,hdpqesakzg,uehqtvovcc
CAt,DOg,wncektnlge,-686,467,Dog,0.1655
fkekfmkavu,312,roqyhxlxzm,205,-267,jhikcymvny,cat
DOg,tgiasuafzy,vclizpynba,xnllqznpcn,0.018,dsdlsuahod,caT
0.2055,dOG,pcdkddpkbf,fvcxgbqfgo,Cat,489,fzqzhmvqly
dOg,-10,dog,-0.303,43,hcdilbibpt,kzmlccjfhv
wzlxdmecds,-0.483,bnzwzsolfg,243,CAT,DOG,DOG
-501,821,-143,-0.4495,doG,-0.4355,ailzpcovxc
0.0865,jttdddoboy,35,utiipqgdqf,-0.1755,0.1325,-802
-0.2975,papvvmjsuh,60,kstcbwlgsi,0.413,wfcuwaqmxq,tpxquwomkt
706,-847,ucbhxlsnzl,0.165,eqwkphlbmn,-0.149,CaT
-824,966,0.0975,144,-315,tadbgxsadr,cAt
yfcotjnvap,jtncjwyhvv,Dog,-132,caT,qwzqkddcrv,0.08
-130,788,417,-573,-0.013,iupjcihdya,rjnozrpnni
uceyahtobx,Dog,dOG,-746,gtyxchjtbx,0.4415,DOG
jpclronzvu,-0.084,CaT,-0.272,756,dulfpeetod,-297
