dceztwndxo,oezgfetufx,hinqhvijuk,wvhdgklnrq,cfohhjvltj,imsauwxaph
fjmllonttr,0.008,0.4135,-938,0.2155,-872
-9,0.019,mueacdnqog,bwfnsbjhzz,250,DOG
cAt,vjkrzojxmp,-87,-148,imbrcbalnw,-0.0905
-0.121,epkgqtwwsc,erhbtlbnbm,CAT,0.2345,-314
dOG,-0.2975,dOg,426,Dog,txyoruivkt
-596,0.113,801,ubjqgdkldy,589,ggklqsznyx
DoG,0.0745,lacogulmwt,-97,swrwnmhqil,wyrbyfnnsl
0.254,dog,chjpatyone,lkhpwgfumd,cAT,-2
951,-328,-0.2605,-0.465,pxcvebxzla,0.429
-0.223,0.2095,79,-0.1005,0.3285,qxyqdjmjez
-0.018,xrkegurbqx,dog,-0.0505,opqszclyjc,-241
fbxdljhlxx,DOG,0.062,CAt,-0.1525,xnrewahtio
-0.007,377,264,cyjtvavkut,tuhehxmuto,0.25
2,528,lkxchahgni,-392,amhgvvpdzt,348
-656,dOg,0.387,-0.4285,naxbvvghth,150
891,ioeblbdrrj,-0.0245,DoG,-0.0085,-0.2985
-643,-0.292,-544,-0.49,iyfjljtsfi,0.0085
ksndleiqja,-0.306,737,0.2115,-775,CAt
0.4415,-266,urzyhtnnvg,-850,0.385,0.137
DOG,-0.4535,759,cAT,-178,0.459
qgsmsacoso,esndrvhdrp,826,-0.469,499,aadgrovzlf
994,ahuqhwslge,borcvhowch,dog,-0.339,iagwlzzfpl
0.0815,Cat,0.405,ijlqnznxgq,cAT,slfxdxesqa
woqctuqsbh,-596,-0.2735,433,646,bbaovejsxf
Cat,DoG,973,hojrnjwbsf,0.4885,-0.33
0.312,554,0.366,0.3605,siwxzqnkla,doG
0.3545,-511,0.336,ryxqfdzlyp,115,mxxvqhrmhq
0.336,eimvewswrl,901,fifuxqncxe,-913,dOG
-144,-434,dOG,355,-194,-0.052
rcarwfaekw,ksxgxpqfvr,-0.129,ywgvhwbvfr,190,-0.4565
591,0.441,qovbmlbfub,xxktumpqgp,-0.246,cAt
cAT,0.065,-0.0285,cAt,lbugkbjvdt,0.284
puhkzlnrdv,-146,-0.4155,ivvmortedb,cAt,bmyxrdfxhr
0.2195,0.309,0.021,Cat,apmekvapxv,-0.4035
0.2555,Dog,0.424,dog,dOg,-619
787,Dog,682,0.29,CAt,0.177
311,0.444,caT,caT,pcbsyruhev,enczcrhshi
-0.116,-0.3605,mmytramjnl,0.382,hjdxuyqlne,sixpnlvzgi
-0.341,lwvnezstps,841,-306,0.0685,-0.2475
-106,cat,-834,CAt,Dog,rbdftbhqwk
865,DoG,yhifgmvopc,190,0.1285,810
0.4485,0.2695,139,dzwzbhkofu,dkhfjrscsw,tliqsbqswn
836,onmdzvrmed,670,31,-584,0.249
Dog,-0.327,-482,-0.4335,0.322,-470
Cat,Dog,-321,-0.3435,-0.3485,978
303,320,0.238,-0.282,-0.276,ucfmkiqxti
grovxpkcew,878,475,160,-235,CaT
0.0465,-0.458,-0.078,-0.328,-503,326
cAT,fukbvcujis,-0.013,-853,0.256,-579
lltmehdznt,ufgyekqyis,-0.0625,caT,0.2265,293
gmxcvvfbpg,cemkmsvjge,ifjtqxfslk,gzbvdcwdjb,-0.0755,-751
bwpftwowiw,CAt,bewijxayyb,21,Dog,rpbyumpqat
760,cat,-0.376,CaT,0.0795,svjoeyyorz
-839,-910,dqtclwknfe,164,0.161,658
116,-299,ywxgsjabdt,337,fmyjkefiui,676
0.073,efpmrrcyaz,0.16,-0.478,-276,0.146
yhqqspeboz,caT,0.4595,0.449,-0.442,ndipddqhic
359,0.126,dqmxirrlbx,-561,105,-2
gmxyudkodu,caT,-0.015,jhuyybfhif,0.3325,dOg
754,-0.1785,0.2705,-0.434,fyozlmmsos,-0.267
dOG,947,0.302,ltavroziap,jthwcpfmkb,726
