uqfodfklsz,uuvcgpqlom,gseeklwegd,nffckytuuc,zgjcbwjnxs,hkwtyzbdsk
-0.191,oxczahrztk,507,0.289,DOg,-623
-0.1035,0.1285,qowehutcro,-153,-555,-790
-38,Cat,CaT,-770,-0.115,CAt
-27,0.289,-899,DOG,DoG,utrkuqniny
DoG,dog,-0.1995,fthnejhqcz,-659,0.3805
-162,960,-914,141,dOg,838
0.1985,Dog,DOG,-386,dOg,DOG
0.2105,-10,-615,0.4185,fgkrzvzfsl,gzxussakcy
308,320,oinieumzsq,kycrhcbhtk,0.1975,377
qphstggwav,-0.1545,hilupvkldr,slexypamxu,ekvhtndqad,-1000
235,CaT,aedexqdvzo,dog,cAt,olqsewdwxg
0.0785,-351,-617,CAt,wjuypnwxqp,-26
csrhtyrjkj,cnttmhtksd,-29,kbmcaxkbpe,-907,0.077
Dog,-0.208,-0.43,pzywmlofyl,16,318
uewmenbmpg,-0.3785,naxpswikso,cat,-0.0395,CAt
293,qkjjuhwjbn,yaxbhwsucj,CaT,hhuimpwwfg,0.125
0.4715,64,dOG,-692,zlhpwgzuyo,862
-0.291,cat,DOG,310,639,0.286
0.114,-556,0.0305,Dog,0.169,-995
802,cyrpotqviq,caksupliyh,ipmmkvfnqf,0.1415,fptnjaztdf
nrrbflccbs,397,258,CAt,dOG,0.139
doG,esvxhkldnz,0.4655,dOg,980,791
vqdliabqet,-248,biwaofgguh,-0.123,852,aubaktygse
uborzfyuyc,pmyfgvvsqe,ujniogksnf,zkreefwyva,cycgpmrnfk,622
yleadfyuoz,-60,-0.096,dog,-0.238,eqnmyuyszw
ccuwrlydiz,-0.417,rihbystnez,920,dog,-0.372
Dog,qjfaeywyji,-0.062,231,107,0.2445
357,-0.114,705,-271,-265,-569
nsmaexuqhy,0.4005,-0.2715,830,-0.4505,hdzyjafpty
-939,-829,ofalorfojj,-491,974,xvqlmkiwlh
493,-847,nopwnhdaju,yrpirskypk,vjshavdarr,0.3585
lrpknkkwml,xrvttncwnc,0.401,-0.056,DOG,743
pmuwhazlyj,sxkqvmryfv,800,-0.0705,908,CAt
wiwxrmyyuq,-0.485,evlyiqfgmc,197,cAt,CAT
bcdxnntosh,vlqabnjcte,ecsxecouur,0.4325,xlnvsgbmek,tzzvkadjjo
0.1175,mhgwezejna,-0.296,0.454,cAt,DOG
DOg,285,-443,puqerpzcba,0.297,addxstqplv
qtclajradu,-370,0.128,meaevjdpzs,zxfdruehat,ajzydfvvrc
-543,359,42,DOg,0.0665,qgrlbgakyc
zrhqhegxld,654,835,CAt,efntscrnao,-44
503,-0.005,nlcihwutfu,84,blsqxiyzhu,-456
-0.0625,-702,530,544,0.377,0.0565
0.158,-0.3645,doG,0.1245,dog,208
0.0855,xthtqywmop,kpxdlftcgs,lsexxigvjz,zbvwpozcsu,0.327
968,285,0.2205,qpmvpxqgso,Dog,ruktukghgw
ecsjgeczvp,-161,466,-0.0415,neucpbiaob,-367
216,pryhwvgvoz,-523,caT,DOG,0.3375
lozqayagwy,-0.003,CaT,dog,jwxdvfzamw,CaT
fmctnrrgpr,572,Dog,gddsgofutp,emgubobics,oowheyefdn
Dog,cAT,0.452,0.283,yssabvdxhv,cat
qpzlovceuo,-0.3795,-824,udqpflljwr,-0.031,rzvmwyrmsa
DOG,860,imxyojstmm,onovglygjw,0.4125,100
0.3515,0.3415,-680,-0.366,-0.29,-516
spntncstwm,436,548,xkcwdppjfm,caT,dmhehnklco
458,wahkeyjpnc,-0.498,ouwahucjsd,fthovpcmir,0.219
-660,0.267,caT,DoG,0.4455,-897
zqmtsuxqyv,busbpvrmmq,667,-0.1115,bhgkjexmiy,dog
661,133,-0.407,0.3815,112,irqbhsfgad
owvxjgywlc,830,mutixldvuo,428,dOg,-0.232
cAt,-514,fabccywsnz,-414,pmeouljlad,yllsqvdmqv
