pEt,fcqsbsxlme,zvljzfaaer,llcmrrwnza,fbvzghikqh,fxqkegjlxf,cjzkidpujs
0.0055,708,-943,beilazhosr,0.0005,fgaaenniju,Dog
puxgfbabfw,-986,dog,ilaoyyehnn,mdncilxfml,cat,qvabhcileh
CaT,dOg,-418,0.1725,-0.4395,0.074,-6
CAT,197,dOG,dOg,jprjmhpyzs,cAT,hkgcnhedni
caT,0.033,dykzjxyjsc,820,-0.1515,-0.081,778
CAT,970,hqfwzoxdjp,-0.0605,jbcpflxayf,corocyescp,DOG
0.4235,DOG,sinuycgvqa,-0.42,lpicaptmbx,dog,jmclnxzihs
DOG,glxlyobyhk,dog,caT,DOG,-496,528
caT,udcoiosjhf,642,-0.0395,0.104,njhkhglnho,nqlmmdhnpe
-0.3095,0.264,-0.1795,0.1785,azxkcskkso,cAt,-0.272
DOg,-0.0915,uyxntzskrj,-0.039,utkpbaawzg,-76,0.438
jylpnwpqpy,-0.253,0.1695,-30,-275,0.058,amqjcwshzf
DOG,doG,nvkvqxzijw,2,0.495,fqwsgmresr,329
CaT,npzubekkaa,Dog,-355,dog,-566,DOg
CaT,azezoulhrc,-0.0925,-68,ldiniwazpt,kayiqwkskj,qazmgyemup
txyylmaste,wtrkugryqb,CaT,ybqhhfmntl,781,dog,-432
CAT,522,wptftduwkh,fukvejryxw,bwuswfuhsd,lnvymvlgna,faowjbfnxr
DoG,flazeziiih,CAt,-0.0795,755,-0.4665,-160
CAt,-0.005,161,-0.0575,495,mkxsbetvgz,duauxpdqem
DOg,-375,-0.242,0.2065,0.0595,-0.2015,-0.246
dOg,uobdlzsbzl,987,cat,scisfpbeci,-560,0.1385
cAt,CAT,0.2455,-362,599,-127,DOG
DoG,-94,607,kevhokrauq,cat,767,ktqjlnmgfo
Cat,puatwlfgkp,-0.219,-254,899,162,0.1285
pkdcjmzomn,220,DOg,-0.0135,959,0.284,0.1965
-0.3505,0.244,oxlltwmkvv,-324,doG,358,cAT
0.153,ecwhkcyrbz,doG,yahfdvtovk,333,gtfrmbyens,0.497
Cat,DOG,iixwgyummm,-859,Dog,0.169,jfnvnhvkek
-0.017,-248,bcroxeyher,-0.4005,0.2655,Cat,omqnerzntq
DOG,-813,-0.388,447,-392,zdtwztvzcj,-0.356
dOG,-0.027,0.434,398,813,tpshzcyqes,305
CaT,doG,612,-574,cAt,dOg,752
-0.219,puhxmmjmfk,-0.2825,-409,wwtiinqcue,-662,CaT
Dog,cAT,254,galbtksujc,gtzrretaei,535,dOg
cAT,-0.2905,-0.4475,0.2875,CAT,DOg,-0.398
CAt,-0.2375,0.3735,-837,555,-0.484,-0.2755
-776,Cat,-528,Cat,-639,-390,vkwrguwlgj
1,755,-666,ytyyhwzwnw,dOG,tpzzuloyqx,-371
Dog,ptnranmjxg,hvapjnbllw,0.43,dOg,0.217,nmkoiargfj
943,-0.416,254,436,doG,jnczpmeubx,752
CaT,-993,-124,-0.044,jqlsjmsmyk,cat,275
632,dOg,0.2845,dOG,lqepzbxdvl,503,ttyisowpiy
