gngqllihmu,emxuwfnhzn,jzgnlmxbwd,mjmzdgzmug,PeT,wnypkplxmp,textrnenxc
0.3035,CaT,sizpebwzdv,-771,cAT,0.2985,-0.291
ongzbqwrwk,648,mckdykgkoo,-434,CAt,-14,bkaynijxfj
vbdryjxjqr,-354,0.361,-0.329,CAt,406,-0.204
563,nvjsmeeano,wcszkjxtnu,287,cAt,tzhogwuypa,nlpsbykrgw
-0.262,0.0615,0.4085,nkxdeonhbr,DOg,cpqeonpsma,CaT
quehebpgul,0.4345,0.0235,-687,balxzpobfq,-0.4595,qhqdluncpy
380,0.3135,-386,0.471,DOG,-0.3025,DOG
790,CAt,890,-0.181,CAt,vtbhhffkqj,-0.373
-295,725,651,-0.1035,227,347,CAT
jzyzyotmke,-3,doG,gjstdcdojv,dOg,CAT,xxkvooqahi
tdqwabqofk,itoksywsek,-391,727,DOG,doG,-0.018
438,yifkhhfnsi,-257,0.1045,xrwasvaecz,dOG,0.1235
-246,gdvncivpof,168,cAt,doG,-692,dOg
DOg,0.251,0.4325,cqcksksbul,cat,givqslaooq,pvkolqhefs
0.1125,-0.1595,CAT,yzbkbqllry,DoG,idrhwlqvma,zeiprvrnpc
dOg,647,bdwntjwnxi,uihfydslaq,Dog,0.3345,616
kjqlzejbuc,nfweeagven,-0.4185,28,caT,-922,-0.184
330,cat,-0.1655,-0.236,0.4305,jythuflwog,ofgvltyacg
-850,DOG,-144,pstwcmvoql,0.1015,-831,0.3445
lsssmdrups,-0.2585,-745,tkddojfuza,166,zieimbsibs,0.391
-0.452,wmphaagpff,-435,DOG,Dog,179,rrdjrsuqfy
-0.272,700,-0.282,-716,dOg,dbyojiafoq,0.0665
449,189,cbexilbksq,692,CaT,tdjrbqtzsi,DOG
-994,0.3855,-710,851,cfilotuybx,-107,0.282
ijddqleffx,819,0.0425,0.2305,CAT,499,jbllpctyti
oecekngkgu,CAT,kmltfvxynx,giomlgfbpo,0.0735,965,lyfllrozrf
