izbziqtfbv,xwntrrxdbf,ibajvkkpwt,xrfbrbyctd,fdhvqnvxci,shavvzswwm,gbvavgqpoz
uapldqxfjr,lucdzmqynz,-0.2705,0.3265,-383,-771,-119
Dog,0.113,qxtqmdyuxq,raicltaaba,nlfsghpatw,857,DOg
tgugknuxtq,uffgzbzrmr,eroqjvnypz,xvgthulbaz,zfihkgwyyk,anscbvptju,-0.2565
vxgvigydat,-0.2215,823,zmlrgjaiap,0.012,DOG,-0.2645
oabmyhioqe,-0.045,0.0095,-69,-590,0.0765,0.233
pmgoxmentk,uysnxvgety,0.212,wpnyjqpypm,ksufaexhmy,caT,-120
yjrvyvwhxd,0.0015,-0.3705,wjbfndevld,CAT,-0.088,Dog
txxbgllvel,0.267,cat,0.4265,kggvafydci,-0.3275,bdlnvgawns
hbteofxnio,gkjfoktcsj,DoG,-298,0.3375,-987,gyeckqjayo
201,dog,dcqwtkhsgb,itygpdvbtu,CaT,poujmnfhma,533
-852,278,-150,gtczosmjei,DOG,CaT,DOG
DOG,nxsmrelbxw,0.411,-440,pgpsrfxwup,-0.26,801
-0.264,fporjtmiri,0.463,pmbjnbejuq,315,DoG,-0.1735
0.0475,0.3,0.261,cAt,CAT,xlekbtswky,doG
Cat,-275,0.3235,0.228,-646,pkqzlgmhjq,dOg
pegshufgpo,dOg,-115,etzqnemnwa,lhrwqsqdbg,uxucjjaorz,-0.0095
CaT,-0.4835,CAt,-981,-875,-0.0435,546
282,lpmhauzyes,0.4615,-81,-0.4735,Dog,caT
0.329,322,xlxunbyrui,-0.223,-0.0375,-223,lwwluyknad
-0.361,0.3445,-627,623,dOg,-17,Dog
-787,0.101,275,-84,isbfnpuzta,0.202,auvrsdfxzp
-0.042,cat,nqtgrhuhis,lcpazzgbcd,0.1255,4,-896
921,gvmwmqoqzo,DOG,-0.0785,Cat,lkuvwnfebx,0.009
wbzyuqbmcg,-36,-395,-0.285,0.2425,tfintzxdwt,tgtljaumcw
112,brcdwjrhid,765,-0.133,-0.324,CAT,cyjbnfjlrg
CAT,0.1505,388,xbtutqdnfr,srbvsotmeg,ldetknfbku,Dog
0.3635,wbxqggamqy,oadoyzxyzs,544,bsyxwwijyz,Dog,-912
ugpjehwylx,qfxiuxatsw,yijokpsuqo,880,689,alyemeymxa,cxjvsnztbe
qggaieixlw,-0.283,-0.275,-0.3775,-495,wfzkyxbeei,dOg
-0.39,otgsatqgdb,iqjpwruips,CaT,kctngzvkkb,0.406,763
aehurbmxcm,-828,869,cAt,CAT,0.47,829
298,280,188,189,424,0.076,325
pocfjerzee,jhwutxemlk,hvkjwzktqr,xaowaaqnrw,0.3335,wqxwappjuc,367
odkkuzemyn,axcwanvtgk,dpcyrnheiy,pwagjoveyw,mskbtndqcf,-613,dOg
DoG,-281,-0.031,0.094,CaT,xwrpzppjvr,DOG
0.2685,ygcanoqoui,-889,67,wrxhdkvbqc,kluixocuut,-0.084
yokkzpndxs,431,520,cat,CaT,0.158,bdxabljvor
0.207,0.1155,-0.37,-0.128,-0.287,dog,mcrihtjhhg
0.317,-816,0.4075,0.3785,552,-0.151,-0.435
0.405,-0.3725,0.0825,-354,-0.3745,391,DOg
-18,cat,-0.4545,-0.238,-467,0.407,kjjjildiyw
cmchwbkfcz,kwbmmrtdjd,0.112,0.269,-0.214,565,502
rbdpuptofv,cAT,0.444,Dog,-817,-0.035,-0.012
341,0.391,317,-436,440,xsbywzsjod,548
-0.014,mamgbwuxhv,912,doG,957,191,-0.0095
