oxkesxzigw,hvvahnzyea,PeT,emfxdiwiil,txpipnxfld,flzugzyqxi,vpdbzfrcxk
0.0885,0.4775,dOG,0.3305,702,ynulqihqec,370
534,-713,-0.366,-301,scpcqrquma,wmwhoqdrja,0.066
eddeapkjrv,-0.1935,DOG,94,zjmaazvrul,-0.3635,476
-1,ajnbtnetkb,CAT,-355,ruyaiezgtm,-0.263,DOg
-465,doG,doG,391,CAT,251,0.0465
0.3105,dOg,cAt,ctkwawqwfr,dOG,-490,-174
205,834,cat,947,-0.2235,cat,dOg
27,-0.4175,0.417,-283,zhvboqaxix,-542,874
gpcfudliiq,sqntxdftwx,cAt,CAT,-130,grxawfcwhu,235
0.179,0.0535,CAT,0.055,570,zjenxwlrsd,-716
cAT,-0.4995,-0.088,0.1455,716,-286,0.26
CAT,kbshmsmokd,afyujvxkys,mzlzaiawgl,dOG,-333,-364
waviaisdxw,-0.1705,-0.359,dOG,0.1955,-926,-0.004
0.4385,0.221,cvxkmeesow,937,yrajqlaxrf,wttudwjcvv,tfnnaxsywl
DOG,DoG,-622,-660,-0.3725,-0.235,94
anvenommdw,-576,421,vqmktjifde,0.203,946,qdtavwoixd
-155,xnipnadfjt,Dog,cAt,-533,391,ltygrzkiyn
-211,-0.238,dog,jjsslsqmjj,628,-0.156,812
ozhwygcrsu,DoG,CaT,0.3265,upmbghexlq,-256,447
0.3115,vgkjhfkmww,caT,bymcbcpzxx,iayloekkth,hlskoimkev,0.317
341,kglljimucb,caT,dOg,400,-0.0745,dOg
0.3735,caT,dOG,yxdqpxlkly,wkzujubpcm,DOg,0.4945
-0.169,0.352,cAT,gejrgkmiyl,-0.0375,196,wsdpssqfny
-96,pofdguaqpx,-581,0.3445,-121,-2,0.392
czdhdollkd,-570,cAt,ufjuvapoyx,-946,220,234
doG,xcxikuefnq,CaT,-653,0.078,CAT,-28
scilkgooxv,-656,doG,-374,655,-0.038,-0.2045
CaT,775,0.3605,0.3945,kacglsonph,ddcmnaseou,580
caT,-553,DoG,559,791,Cat,rmdkldkmyz
doG,hzmjyfxfvr,CAt,qjkcdrnklj,-0.4915,caT,stjbbxrvca
horxjqlmjb,0.4925,101,0.463,DOg,-0.028,zwpwjbdern
dcpkocwnoy,-0.4485,DOg,fwphswpjcr,-426,xlkadzifho,doG
0.1275,869,431,vsjwhrngol,0.1655,CAT,xgncwtbhdc
0.0375,vcuwflkkgk,cAT,cat,-289,-0.3765,-0.123
-0.347,cAT,0.0635,263,-45,93,-0.1155
